Name,StatusClass,DataValue,DataTimeStamp
"AIRLOCK000049",24,"756.996001582328",1295.18513888889
"AIRLOCK000049",24,"756.361489654525",1295.18541666667
"AIRLOCK000049",24,"756.361489654525",1295.18125
"AIRLOCK000049",24,"756.996001582328",1295.18180555556
"AIRLOCK000049",24,"756.361489654525",1295.18208333333
"AIRLOCK000049",24,"756.996001582328",1295.18791666667
"AIRLOCK000049",24,"756.996001582328",1295.18791666667
"AIRLOCK000049",24,"756.996001582328",1295.18791666667
"AIRLOCK000049",24,"756.361489654525",1295.18541666667
"AIRLOCK000049",24,"756.361489654525",1295.18541666667
"AIRLOCK000049",24,"756.996001582328",1295.18625
"AIRLOCK000049",24,"756.361489654525",1295.18208333333
"AIRLOCK000049",24,"756.996001582328",1295.18263888889
"AIRLOCK000049",24,"756.996001582328",1295.18263888889
"AIRLOCK000049",24,"756.996001582328",1295.18791666667
"AIRLOCK000049",24,"756.996001582328",1295.18791666667
"AIRLOCK000049",24,"756.361489654525",1295.18930555556
"AIRLOCK000049",24,"756.996001582328",1295.18625
"AIRLOCK000049",24,"756.361489654525",1295.18680555556
"AIRLOCK000049",24,"756.361489654525",1295.18319444444
"AIRLOCK000049",24,"756.996001582328",1295.18347222222
"AIRLOCK000049",24,"756.996001582328",1295.18347222222
"AIRLOCK000049",24,"756.996001582328",1295.18958333333
"AIRLOCK000049",24,"756.996001582328",1295.18958333333
"AIRLOCK000049",24,"756.996001582328",1295.18958333333
"AIRLOCK000049",24,"756.996001582328",1295.18958333333
"AIRLOCK000049",24,"756.361489654525",1295.19069444444
"AIRLOCK000049",24,"756.996001582328",1295.19097222222
"AIRLOCK000049",24,"756.996001582328",1295.19097222222
"AIRLOCK000049",24,"756.996001582328",1295.19097222222
"AIRLOCK000049",24,"756.996001582328",1295.19097222222
"AIRLOCK000049",24,"756.996001582328",1295.19097222222
"AIRLOCK000049",24,"756.996001582328",1295.19097222222
"AIRLOCK000049",24,"756.996001582328",1295.19097222222
"AIRLOCK000049",24,"756.361489654525",1295.19291666667
